Buildfile: /home/ec2-user/ASL-MQ/build.xml

compile:

jar:

run:
     [java] Message server running
     [java] ########## Middleware Report ##########
     [java] Req#	 Time	 Resp	 Rate	 Recv#	 Throughput
     [java] 164000	 7990784	 48	 20	 163992	 191
     [java] 165000	 8040069	 48	 20	 164992	 191
     [java] 166000	 8088795	 48	 20	 165992	 191
     [java] 167000	 8137281	 48	 20	 166991	 191
     [java] 168000	 8185485	 48	 20	 167991	 191
     [java] 169000	 8234454	 48	 20	 168992	 191
     [java] 170000	 8282721	 48	 20	 169992	 191
     [java] 171000	 8330953	 48	 20	 170991	 191
     [java] 172000	 8378826	 48	 20	 171991	 191
     [java] 173000	 8427507	 48	 20	 172992	 191
     [java] 174000	 8475401	 48	 20	 173991	 191
     [java] 175000	 8523827	 48	 20	 174991	 191
     [java] 176000	 8575816	 48	 20	 175992	 191
     [java] 177000	 8627003	 48	 20	 176991	 191
     [java] 178000	 8676088	 48	 20	 177992	 191
     [java] 179000	 8724803	 48	 20	 178991	 191
     [java] 180000	 8773238	 48	 20	 179991	 191
     [java] 181000	 8821760	 48	 20	 180991	 191
     [java] 182000	 8871138	 48	 20	 181991	 191
     [java] 183000	 8919552	 48	 20	 182991	 191
     [java] 184000	 8968379	 48	 20	 183992	 191
     [java] 185000	 9016864	 48	 20	 184991	 191
     [java] 186000	 9065693	 48	 20	 185991	 191
     [java] 187000	 9114261	 48	 20	 186993	 191
     [java] 188000	 9163637	 48	 20	 187992	 191
     [java] 189000	 9212241	 48	 20	 188991	 191
     [java] 190000	 9260637	 48	 20	 189991	 191
     [java] 191000	 9314127	 48	 20	 190991	 191
     [java] 192000	 9362414	 48	 20	 191991	 191
     [java] 193000	 9410584	 48	 20	 192991	 191
     [java] 194000	 9459263	 48	 20	 193994	 191
     [java] 195000	 9507869	 48	 20	 194992	 191
     [java] 196000	 9556005	 48	 20	 195991	 191
     [java] 197000	 9603532	 48	 20	 196991	 191
     [java] 198000	 9651915	 48	 20	 197991	 191
     [java] 199000	 9700201	 48	 20	 198992	 191
     [java] 200000	 9749890	 48	 20	 199992	 191
     [java] 201000	 9798687	 48	 20	 200992	 191
     [java] 202000	 9847289	 48	 20	 201992	 191
     [java] 203000	 9896506	 48	 20	 202991	 191
     [java] 204000	 9944597	 48	 20	 203992	 191
     [java] 205000	 9997099	 48	 20	 204992	 191
     [java] 206000	 10045746	 48	 20	 205992	 191
     [java] 207000	 10094497	 48	 20	 206992	 191
     [java] 208000	 10142858	 48	 20	 207992	 191
     [java] 209000	 10191900	 48	 20	 208991	 191
     [java] 210000	 10240362	 48	 20	 209992	 191
     [java] 211000	 10288624	 48	 20	 210992	 191
     [java] 212000	 10338278	 48	 20	 211992	 191
     [java] 213000	 10386488	 48	 20	 212992	 191
     [java] 214000	 10434903	 48	 20	 213991	 191
     [java] 215000	 10483463	 48	 20	 214992	 191
     [java] 216000	 10532236	 48	 20	 215991	 191
     [java] 217000	 10585962	 48	 20	 216991	 191
     [java] 218000	 10634306	 48	 20	 217991	 191
     [java] 219000	 10684150	 48	 20	 218992	 191
     [java] 220000	 10732417	 48	 20	 219992	 191
     [java] 221000	 10780698	 48	 20	 220992	 191
     [java] 222000	 10829039	 48	 20	 221991	 191
     [java] 223000	 10878686	 48	 20	 222992	 191
     [java] 224000	 10927179	 48	 20	 223991	 191
     [java] 225000	 10975565	 48	 20	 224991	 191
     [java] 226000	 11023610	 48	 20	 225993	 191
     [java] 227000	 11072567	 48	 20	 226992	 191
     [java] 228000	 11120722	 48	 20	 227992	 191
     [java] 229000	 11170053	 48	 20	 228991	 191
     [java] 230000	 11221385	 48	 20	 229992	 191
     [java] 231000	 11270115	 48	 20	 230992	 191
     [java] 232000	 11319765	 48	 20	 231992	 191
     [java] 233000	 11367940	 48	 20	 232993	 191
     [java] 234000	 11416982	 48	 20	 233991	 191
     [java] 235000	 11465770	 48	 20	 234993	 191
     [java] 236000	 11514929	 48	 20	 235992	 191
     [java] 237000	 11563193	 48	 20	 236991	 191
     [java] 238000	 11612221	 48	 20	 237991	 191
     [java] 239000	 11660842	 48	 20	 238993	 191
     [java] 240000	 11709450	 48	 20	 239992	 191
     [java] 241000	 11758828	 48	 20	 240991	 191
     [java] 242000	 11809581	 48	 20	 241991	 191
     [java] 243000	 11858718	 48	 20	 242991	 191
     [java] 244000	 11909618	 48	 20	 243991	 191
     [java] 245000	 11958559	 48	 20	 244992	 191
     [java] 246000	 12007799	 48	 20	 245992	 191
     [java] 247000	 12056974	 48	 20	 246991	 191
     [java] 248000	 12105811	 48	 20	 247991	 191
     [java] 249000	 12154356	 48	 20	 248991	 191
     [java] 250000	 12202845	 48	 20	 249991	 191
     [java] 251000	 12251307	 48	 20	 250991	 191
     [java] 252000	 12299780	 48	 20	 251992	 191
     [java] 253000	 12349051	 48	 20	 252991	 191
     [java] 254000	 12397688	 48	 20	 253991	 191
     [java] 255000	 12454532	 48	 20	 254992	 191
     [java] 256000	 12503529	 48	 20	 255992	 191
     [java] 257000	 12552881	 48	 20	 256993	 191
     [java] 258000	 12602500	 48	 20	 257993	 191
     [java] 259000	 12651579	 48	 20	 258992	 191
     [java] 260000	 12699941	 48	 20	 259991	 191
     [java] 261000	 12748879	 48	 20	 260992	 191
     [java] 262000	 12797781	 48	 20	 261991	 191
